,AllInsects,Azamiuma,Hachi,Ga350,Ga550,Ga350550,Y
539,2.73E-07,0.88,0.16368,1.03E-01,0.971737415,0.971737415,0.9472
540,2.19E-07,0.88,0.15,1.02E-01,0.976512363,0.976512363,0.954
541,1.75E-07,0.88,0.11976,1.02E-01,0.980873463,0.980873463,0.9602
542,1.40E-07,0.88,0.08868,1.02E-01,0.984810576,0.984810576,0.966
543,1.12E-07,0.88,0.05772,1.01E-01,0.988314044,0.988314044,0.9712
544,8.90E-08,0.88,0.02784,1.01E-01,0.991374719,0.991374719,0.976
545,7.07E-08,0.88,0,1.00E-01,0.993983999,0.993983999,0.9803
546,5.61E-08,0.88,0,1.00E-01,0.996133851,0.996133851,0.9841
547,4.44E-08,0.88,0,9.97E-02,0.997816846,0.997816846,0.9874
548,3.51E-08,0.88,0,9.93E-02,0.999026185,0.999026185,0.9904
549,2.76E-08,0.88,0,9.89E-02,0.999755724,0.999755724,0.9929
550,2.18E-08,0.88,0,9.85E-02,1,1,0.995
551,1.71E-08,0.88,0,9.81E-02,0.999754258,0.999754258,0.9967
552,1.34E-08,0.88,0,9.76E-02,0.999014472,0.999014472,0.9981
553,1.05E-08,0.88,0,9.71E-02,0.997777362,0.997777362,0.9992
554,8.16E-09,0.88,0,9.66E-02,0.996040421,0.996040421,0.9998
555,6.35E-09,0.88,0,9.61E-02,0.993801924,0.993801924,1
556,4.94E-09,0.88,0,9.56E-02,0.991060952,0.991060952,0.9998
557,3.83E-09,0.88,0,9.50E-02,0.987817396,0.987817396,0.9993
558,2.96E-09,0.88,0,9.44E-02,0.984071977,0.984071977,0.9983
559,2.29E-09,0.88,0,9.38E-02,0.979826247,0.979826247,0.9969
560,1.76E-09,0.88,0,9.32E-02,0.975082603,0.975082603,0.995
561,1.36E-09,0.88,0,9.25E-02,0.969844286,0.969844286,0.9926
562,1.04E-09,0.88,0,9.18E-02,0.964115383,0.964115383,0.9897
563,7.97E-10,0.88,0,9.11E-02,0.957900832,0.957900832,0.9865
564,6.09E-10,0.88,0,9.03E-02,0.951206411,0.951206411,0.9827
565,4.64E-10,0.88,0,8.95E-02,0.944038737,0.944038737,0.9786
566,3.53E-10,0.88,0,8.87E-02,0.936405258,0.936405258,0.9741
567,2.68E-10,0.88,0,8.79E-02,0.928314238,0.928314238,0.9692
568,2.03E-10,0.88,0,8.70E-02,0.919774749,0.919774749,0.9639
569,1.54E-10,0.88,0,8.62E-02,0.910796652,0.910796652,0.9581
570,1.16E-10,0.88,0,8.52E-02,0.901390575,0.901390575,0.952
571,8.74E-11,0.88,0,8.43E-02,0.891567902,0.891567902,0.9454
572,6.56E-11,0.88,0,8.33E-02,0.881340738,0.881340738,0.9385
573,4.92E-11,0.88,0,8.23E-02,0.87072189,0.87072189,0.9312
574,3.68E-11,0.88,0,8.13E-02,0.859724838,0.859724838,0.9235
575,2.75E-11,0.88,0,8.03E-02,0.848363703,0.848363703,0.9154
576,2.05E-11,0.88,0,7.92E-02,0.836653215,0.836653215,0.907
